date,temperature,time_start,box,channel,genet,tank,run,polyps,sum_body_size_mm,min_body_size_mm,mean_body_size_mm,max_body_size_mm,sum_body_mass_g,min_body_mass_g,mean_body_mass_g,max_body_mass_g
2/15/24,13.5,09:20:00,2,3,C,12,Corynactis,4,18.145,3.55,4.53625,5.175000000000001,2.871944925,0.49840249999999997,0.71798623125,0.8674806250000002
2/15/24,13.5,09:20:00,2,4,C,15,Corynactis,3,11.265,2.595,3.755,5,1.669391725,0.32338442500000003,0.5564639083333334,0.82342
2/15/24,13.5,13:45:00,1,1,C,2,Corynactis,3,14.92,4.185,4.973333333333334,6.305000000000001,2.49612255,0.6319398249999999,0.83204085,1.1770554250000003
2/15/24,13.5,13:45:00,1,2,C,3,Corynactis,6,22.349999999999998,3.0149999999999997,3.7249999999999996,4.405,3.2287117999999997,0.39653582499999995,0.5381186333333333,0.6814024249999999
2/15/24,13.5,13:45:00,1,4,C,5,Corynactis,5,22.245,3.215,4.449,5.205,3.5051040749999998,0.43347782499999993,0.7010208149999999,0.8751384249999999
2/15/24,13.5,13:45:00,2,1,C,4,Corynactis,3,15.59,4.12,5.196666666666666,6.595,2.67373085,0.6176408,0.8912436166666666,1.2635044249999998
2/15/24,13.5,13:45:00,2,2,C,1,Corynactis,3,15.215,4.265,5.071666666666666,5.605,2.541181675,0.6497358249999998,0.8470605583333333,0.9801664250000001
2/15/24,13.5,13:45:00,2,3,C,3,Corynactis,5,23.369999999999997,3.9000000000000004,4.6739999999999995,5.75,3.7628084499999996,0.5703100000000001,0.7525616899999998,1.0195824999999998
2/15/24,13.5,13:45:00,2,4,C,5,Corynactis,3,13.265,3.795,4.421666666666667,5.065,2.069366675,0.548300425,0.6897888916666667,0.8396638250000001
2/16/24,13.5,09:30:00,1,1,A,15,Corynactis,3,9.835,2.885,3.2783333333333333,3.785,1.343591475,0.37325282499999995,0.447863825,0.546223825
2/16/24,13.5,09:30:00,1,2,A,11,Corynactis,4,14.27,3.185,3.5675,4.455,2.02588655,0.427849825,0.5064716375,0.692873425
2/16/24,13.5,09:30:00,1,4,A,12,Corynactis,3,12.23,3.9250000000000003,4.076666666666666,4.295,1.82584075,0.5756056250000001,0.6086135833333334,0.6564654249999999
2/16/24,13.5,09:30:00,2,1,A,14,Corynactis,3,9.19,2.58,3.0633333333333335,3.38,1.2221648999999999,0.3208828,0.4073883,0.4649787999999999
2/16/24,13.5,09:30:00,2,2,A,13,Corynactis,8,29.16,2.6100000000000003,3.645,5.115,4.20509665,0.32589370000000006,0.52563708125,0.852256825
2/16/24,13.5,09:30:00,2,3,A,11,Corynactis,4,16.04,3.4350000000000005,4.01,4.515000000000001,2.39065335,0.4756848250000001,0.5976633375,0.7067508250000001
2/16/24,13.5,09:30:00,2,4,A,12,Corynactis,6,26.805,3.9000000000000004,4.4675,6.154999999999999,4.235729075,0.5703100000000001,0.7059548458333333,1.1334624249999998
2/16/24,13.5,15:00:00,1,1,D,2,Corynactis,4,21.72,4.765000000000001,5.43,6.01,3.75341365,0.7658908250000002,0.9383534125,1.0920497
2/16/24,13.5,15:00:00,1,2,D,1,Corynactis,3,18.035,5.695,6.011666666666667,6.545000000000001,3.2849032750000005,1.0045474250000002,1.0949677583333335,1.2483954250000002
2/16/24,13.5,15:00:00,1,4,D,5,Corynactis,6,23.37,1.3900000000000001,3.895,4.859999999999999,3.5508524500000003,0.1467977,0.5918087416666666,0.7889211999999999
2/16/24,13.5,15:00:00,2,1,D,3,Corynactis,4,15.455,3.0149999999999997,3.86375,4.8,2.287621075,0.39653582499999995,0.57190526875,0.77434
2/16/24,13.5,15:00:00,2,2,D,4,Corynactis,5,18.264999999999997,2.465,3.6529999999999996,4.859999999999999,2.6576375749999994,0.30195782499999996,0.531527515,0.7889211999999999
2/16/24,13.5,15:00:00,2,3,D,5,Corynactis,5,20.525000000000002,3.1,4.105,5.855,3.145825125,0.41207000000000005,0.629165025,1.0485714250000002
2/16/24,13.5,15:00:00,2,4,D,1,Corynactis,5,23.29,3.795,4.6579999999999995,5.965,3.7576068999999994,0.548300425,0.7515213799999999,1.079342825
2/17/24,13.5,09:00:00,1,1,A,6,Corynactis,5,21.169999999999998,3.2299999999999995,4.234,4.89,3.2430470999999996,0.4363032999999999,0.64860942,0.7962577
2/17/24,13.5,09:00:00,1,2,A,9,Corynactis,6,23.605,2.41,3.934166666666667,5.095000000000001,3.5358026750000002,0.2930657,0.5893004458333333,0.8472094250000002
2/17/24,13.5,09:00:00,1,4,A,7,Corynactis,4,10.26,2.39,2.565,2.925,1.27664675,0.2898577,0.3191616875,0.380355625
2/17/24,13.5,09:00:00,2,1,A,8,Corynactis,4,14.319999999999999,3.2399999999999993,3.5799999999999996,4.38,2.0325949999999997,0.43819119999999984,0.5081487499999999,0.6756987999999999
2/17/24,13.5,09:00:00,2,2,A,7,Corynactis,8,30.255,2.8249999999999997,3.781875,4.895,4.4183662749999995,0.362700625,0.5522957843749999,0.7974834249999999
2/17/24,13.5,09:00:00,2,3,A,10,Corynactis,4,12.49,2.4,3.1225,4.5200000000000005,1.71575005,0.29146,0.4289375125,0.7079128000000001
2/17/24,13.5,09:00:00,2,4,A,9,Corynactis,4,13.065,2.3449999999999998,3.26625,4,1.7966168249999999,0.28268942499999994,0.44915420624999997,0.59162
2/17/24,13.5,14:30:00,1,1,E,8,Corynactis,3,10.594999999999999,2.8949999999999996,3.5316666666666663,3.9549999999999996,1.4949632749999997,0.3750234249999999,0.49832109166666655,0.5819884249999998
2/17/24,13.5,14:30:00,1,2,E,7,Corynactis,4,13.815,2.7300000000000004,3.45375,3.755,1.929500225,0.34624330000000003,0.48237505625,0.540014425
2/17/24,13.5,14:30:00,1,4,E,6,Corynactis,6,22.975,2.9099999999999997,3.8291666666666666,4.985,3.3731851749999997,0.3776856999999999,0.5621975291666667,0.819691825
2/17/24,13.5,14:30:00,2,1,E,10,Corynactis,4,15.805000000000001,2.7600000000000002,3.9512500000000004,4.565,2.358608025,0.35140720000000003,0.58965200625,0.718408825
2/17/24,13.5,14:30:00,2,2,E,6,Corynactis,3,8.945,2.49,2.981666666666667,3.3400000000000003,1.1781277250000002,0.3060337,0.3927092416666667,0.45725720000000003
2/17/24,13.5,14:30:00,2,3,E,9,Corynactis,7,25.155,3.1,3.5935714285714284,4.09,3.5670470749999996,0.41207000000000005,0.5095781535714285,0.6110897
2/17/24,13.5,14:30:00,2,4,E,7,Corynactis,4,15.34,3.205,3.835,4.8,2.25129065,0.431598425,0.5628226625,0.77434
2/18/24,13.5,10:15:00,1,1,B,12,Corynactis,4,16.59,3.335,4.1475,5.275,2.5286757,0.456295825,0.632168925,0.893125625
2/18/24,13.5,10:15:00,1,2,B,14,Corynactis,5,20.965,3.495,4.193,4.805000000000001,3.187508775,0.487481425,0.637501755,0.775550425
2/18/24,13.5,10:15:00,1,4,B,12,Corynactis,3,10.81,2.23,3.6033333333333335,4.575,1.5781283499999998,0.2646833,0.5260427833333333,0.720750625
2/18/24,13.5,10:15:00,2,1,B,14,Corynactis,5,20.195,3.2,4.039,5.01,3.039623625,0.43066000000000004,0.6079247249999999,0.8259097
2/18/24,13.5,10:15:00,2,2,B,15,Corynactis,4,15.075,3.38,3.76875,4.569999999999999,2.1863816249999997,0.4649787999999999,0.5465954062499999,0.7195792999999999
2/18/24,13.5,10:15:00,2,3,B,13,Corynactis,5,21.955000000000002,3.5549999999999997,4.391,5.055000000000001,3.4144977250000004,0.4994004249999999,0.682899545,0.8371554250000002
2/18/24,13.5,10:15:00,2,4,B,11,Corynactis,4,19.200000000000003,4.355,4.800000000000001,5.17,3.1043614500000003,0.6700164250000001,0.7760903625000001,0.8662072999999999
2/18/24,13.5,15:40:00,1,1,D,13,Corynactis,5,19.055,2.925,3.811,5.525,2.827223325,0.380355625,0.565444665,0.958725625
2/18/24,13.5,15:40:00,1,2,D,12,Corynactis,11,43.355,3.18,3.9413636363636364,4.88,6.430193924999999,0.4269148,0.5845630840909091,0.7938087999999999
2/18/24,13.5,15:40:00,1,4,D,13,Corynactis,4,14.195,2.9899999999999998,3.54875,4.135,2.011120825,0.39201369999999996,0.50278020625,0.6209278249999999
2/18/24,13.5,15:40:00,2,1,D,11,Corynactis,8,32.025,2.195,4.003125,5.27,4.882349325,0.259292425,0.610293665625,0.8918352999999999
2/18/24,13.5,15:40:00,2,2,D,15,Corynactis,3,11.3,2.75,3.7666666666666666,4.915,1.66756015,0.3496825,0.5558533833333332,0.8023948249999999
2/18/24,13.5,15:40:00,2,3,D,14,Corynactis,8,28.275000000000002,1.2650000000000001,3.5343750000000003,4.54,4.093160825,0.13130582500000001,0.511645103125,0.7125691999999999
2/18/24,13.5,15:40:00,2,4,D,12,Corynactis,5,21.669999999999998,2.87,4.334,6.859999999999999,3.5123822999999996,0.3706033,0.70247646,1.3450011999999998
2/19/24,13.5,04:45:00,1,1,E,2,Corynactis,4,10.905,2.335,2.72625,2.885,1.385937875,0.28110582500000003,0.34648446875,0.37325282499999995
2/19/24,13.5,04:45:00,1,2,E,1,Corynactis,3,11.825,3.77,3.941666666666667,4.125,1.738518225,0.5431153,0.579506075,0.618735625
2/19/24,13.5,04:45:00,1,4,E,5,Corynactis,4,12.945,2.575,3.23625,3.795,1.768830575,0.32005062500000003,0.44220764375,0.548300425
2/19/24,13.5,04:45:00,2,1,E,3,Corynactis,4,16.544999999999998,3.325,4.1362499999999995,5.05,2.513547175,0.45437562500000006,0.62838679375,0.8359025
2/19/24,13.5,04:45:00,2,2,E,5,Corynactis,4,14.05,3.125,3.5125,3.97,1.97125935,0.416685625,0.4928148375,0.5851913
2/19/24,13.5,04:45:00,2,3,E,4,Corynactis,5,17.775,3.185,3.555,3.9250000000000003,2.504204175,0.427849825,0.500840835,0.5756056250000001
2/19/24,13.5,04:45:00,2,4,E,1,Corynactis,4,15.209999999999999,3.59,3.8024999999999998,4.31,2.2053678999999997,0.5064097,0.5513419749999999,0.6598416999999999
2/19/24,13.5,09:30:00,1,1,B,2,Corynactis,3,11.47,3.115,3.8233333333333337,4.805000000000001,1.6887897500000002,0.4148368250000001,0.5629299166666667,0.775550425
2/19/24,13.5,09:30:00,1,2,B,5,Corynactis,7,26.525,3.3499999999999996,3.789285714285714,5.04,3.8666083749999998,0.45918249999999994,0.552372625,0.8333992000000001
2/19/24,13.5,09:30:00,1,4,B,3,Corynactis,5,16.815,2.25,3.363,4.055,2.341784775,0.2677825,0.46835695499999996,0.6034854249999999
2/19/24,13.5,09:30:00,2,1,B,1,Corynactis,5,24.490000000000002,3.605,4.898,5.75,4.0509156,0.509426425,0.8101831199999999,1.0195824999999998
2/19/24,13.5,09:30:00,2,2,B,5,Corynactis,3,11.239999999999998,3.46,3.7466666666666666,4.0249999999999995,1.61760025,0.4805852,0.5392000833333332,0.597000625
2/19/24,13.5,09:30:00,2,3,B,4,Corynactis,7,29.54,3.09,4.22,5.815,4.5784177,0.41022970000000003,0.6540596714285715,1.0374838250000002
2/19/24,13.5,09:30:00,2,4,B,3,Corynactis,5,18.055,2.915,3.6109999999999998,4.925,2.5930730749999995,0.378574825,0.518614615,0.8048556249999999
2/20/24,13.5,09:20:00,1,1,A,1,Corynactis,4,12.055,2.8000000000000003,3.01375,3.4099999999999997,1.588966125,0.35834000000000005,0.39724153125,0.4708056999999999
2/20/24,13.5,09:20:00,1,2,A,1,Corynactis,6,20.945,2.71,3.4908333333333337,4.325,2.9569376750000003,0.3428177,0.49282294583333336,0.663225625
2/20/24,13.5,09:20:00,1,4,A,4,Corynactis,4,15.39,2.7550000000000003,3.8475,4.945,2.2853113,0.35054442500000005,0.571327825,0.8097874250000001
2/20/24,13.5,09:20:00,2,1,A,2,Corynactis,4,14.985,3.08,3.74625,4.865,2.186881825,0.4083928,0.54672045625,0.7901418250000001
2/20/24,13.5,09:20:00,2,2,A,3,Corynactis,4,15.584999999999999,3.695,3.8962499999999998,4.35,2.2828217749999995,0.527687425,0.5707054437499999,0.6688824999999998
2/20/24,13.5,09:20:00,2,3,A,4,Corynactis,5,20.765,3.5599999999999996,4.153,5.59,3.171571125,0.5003991999999999,0.634314225,0.9761297
2/20/24,13.5,09:20:00,2,4,A,5,Corynactis,3,9.3,2.75,3.1,3.61,1.2431494,0.3496825,0.4143831333333333,0.5104337
2/20/24,13.5,14:10:00,1,1,E,11,Corynactis,4,12.715000000000002,2.6350000000000002,3.1787500000000004,4.0600000000000005,1.7266864250000002,0.33009282500000003,0.43167160625000006,0.6045692
2/20/24,13.5,14:10:00,1,2,E,15,Corynactis,3,10.88,2.9899999999999998,3.626666666666667,4.4350000000000005,1.5598919500000001,0.39201369999999996,0.5199639833333334,0.6882748250000001
2/20/24,13.5,14:10:00,1,4,E,12,Corynactis,4,13.585,2.985,3.39625,3.9250000000000003,1.880780475,0.39111182499999997,0.47019511875,0.5756056250000001
2/20/24,13.5,14:10:00,2,1,E,14,Corynactis,3,8.515,2.465,2.8383333333333334,3.2750000000000004,1.100784075,0.30195782499999996,0.366928025,0.44482562500000006
2/20/24,13.5,14:10:00,2,2,E,12,Corynactis,5,14.614999999999998,1.3800000000000001,2.923,3.4799999999999995,1.9515634249999998,0.14553880000000002,0.39031268499999994,0.4845207999999999
2/20/24,13.5,14:10:00,2,3,E,15,Corynactis,4,12.55,2.9300000000000006,3.1375,3.5,1.67955055,0.38124730000000007,0.4198876375,0.48846999999999996
2/20/24,13.5,14:10:00,2,4,E,13,Corynactis,3,9.55,2.6350000000000002,3.1833333333333336,3.715,1.29253565,0.33009282500000003,0.4308452166666667,0.531782825
2/21/24,13.5,09:50:00,1,1,B,8,Corynactis,5,17.165000000000003,3.305,3.4330000000000003,3.5550000000000006,2.3773811250000003,0.450545425,0.4754762250000001,0.49940042500000015
2/21/24,13.5,09:50:00,1,2,B,10,Corynactis,4,17.515,2.8649999999999998,4.37875,6.3549999999999995,2.8450698749999996,0.36972182499999995,0.7112674687499999,1.191756425
2/21/24,13.5,09:50:00,1,4,B,6,Corynactis,5,20.865,3.62,4.173,5.04,3.167846075,0.5124508,0.633569215,0.8333992000000001
2/21/24,13.5,09:50:00,2,1,B,10,Corynactis,7,26.400000000000002,2.8949999999999996,3.7714285714285714,4.83,3.8671373,0.3750234249999999,0.5524481857142858,0.7816153
2/21/24,13.5,09:50:00,2,2,B,7,Corynactis,7,23.689999999999998,2.6550000000000002,3.3842857142857143,4.234999999999999,3.29699645,0.33346742500000004,0.4709994928571428,0.6430368249999998
2/21/24,13.5,09:50:00,2,3,B,9,Corynactis,3,10.105,3.075,3.3683333333333336,3.645,1.390931875,0.407475625,0.46364395833333333,0.5175084249999999
2/21/24,13.5,09:50:00,2,4,B,6,Corynactis,5,18.575,2.915,3.7150000000000003,4.32,2.678996225,0.378574825,0.535799245,0.6620968
2/21/24,13.5,15:00:00,1,1,C,1,Corynactis,6,29.135,3.73,4.855833333333334,6.2250000000000005,4.806641525,0.5348632999999999,0.8011069208333333,1.1537106250000002
2/21/24,13.5,15:00:00,1,2,B,13,Corynactis,3,15.939999999999998,5.125,5.313333333333333,5.569999999999999,2.7109413499999997,0.854785625,0.9036471166666665,0.9707592999999999
2/21/24,13.5,15:00:00,1,4,E,2,Corynactis,3,10.120000000000001,2.955,3.3733333333333335,4.175,1.4074627499999999,0.385718425,0.46915424999999994,0.6297306249999999
2/21/24,13.5,15:00:00,2,1,A,5,Corynactis,3,9.465,2.7300000000000004,3.1550000000000002,3.67,1.274474425,0.34624330000000003,0.42482480833333336,0.5225873
2/21/24,13.5,15:00:00,2,2,D,9,Corynactis,10,37.99,2.625,3.799,6.37,5.6904435499999995,0.328410625,0.569044355,1.1961833
2/21/24,13.5,15:00:00,2,3,B,8,Corynactis,8,30.430000000000003,3.3000000000000003,3.8037500000000004,4.63,4.42744005,0.44959000000000005,0.55343000625,0.7336912999999999
2/21/24,13.5,15:00:00,2,4,E,14,Corynactis,4,12.135,2.7150000000000003,3.03375,3.26,1.602456875,0.34367282500000007,0.40061421875,0.44197719999999996
