Date,Temperature,Time start,Time end,Box,Channel,Genet,Tank,Run,Polyps,Comments
11/30/23,19,12:30,15:15,1,1,B,6,Corynactis,6,
11/30/23,19,12:30,15:15,1,2,B,7,Corynactis,4,
11/30/23,19,12:30,15:15,1,3,B,8,Corynactis,6,I wrote down 7 but I only count 6 in the photo
11/30/23,19,12:30,15:15,1,4,B,9,Corynactis,4,
11/30/23,19,16:00,17:00,1,1,B,6,Tile,,
11/30/23,19,16:00,17:00,1,2,B,7,Tile,,
11/30/23,19,16:00,17:00,1,3,B,8,Tile,,
11/30/23,19,16:00,17:00,1,4,B,9,Tile,,
11/30/23,19,17:00,2:00,1,1,,,Empty,,
11/30/23,19,17:00,2:00,1,2,,,Empty,,
11/30/23,19,17:00,2:00,1,3,,,Empty,,
11/30/23,19,17:00,2:00,1,4,,,Empty,,
12/1/23,19,12:30,15:45,1,1,E,6,Corynactis,4,
12/1/23,19,12:30,15:45,1,2,E,7,Corynactis,5,
12/1/23,19,12:30,15:45,1,3,E,8,Corynactis,8,
12/1/23,19,12:30,15:45,1,4,E,9,Corynactis,7,
12/1/23,19,16:00,17:30,1,1,E,6,Tile,,
12/1/23,19,16:00,17:30,1,2,E,7,Tile,,
12/1/23,19,16:00,17:30,1,3,E,8,Tile,,
12/1/23,19,16:00,17:30,1,4,E,9,Tile,,
12/1/23,19,17:45,21:00,1,1,B,6,Corynactis,3,
12/1/23,19,17:45,21:00,1,2,B,10,Corynactis,5,
12/1/23,19,17:45,21:00,1,3,E,8,Corynactis,5,
12/1/23,19,17:45,21:00,1,4,E,10,Corynactis,8,
12/1/23,19,21:30,22:30,1,1,B,6,Tile,,
12/1/23,19,21:30,22:30,1,2,B,10,Tile,,
12/1/23,19,21:30,22:30,1,3,E,8,Tile,,
12/1/23,19,21:30,22:30,1,4,E,10,Tile,,
12/1/23,19,22:30,2:00,1,1,,,Empty,,
12/1/23,19,22:30,2:00,1,2,,,Empty,,
12/1/23,19,22:30,2:00,1,3,,,Empty,,
12/1/23,19,22:30,2:00,1,4,,,Empty,,
12/2/23,19,12:45,15:45,1,1,A,6,Corynactis,7,
12/2/23,19,12:45,15:45,1,2,A,8,Corynactis,3,
12/2/23,19,12:45,15:45,1,3,A,9,Corynactis,5,
12/2/23,19,12:45,15:45,1,4,A,10,Corynactis,7,
12/2/23,19,16:15,18:00,1,1,A,6,Tile,,
12/2/23,19,16:15,18:00,1,2,A,8,Tile,,
12/2/23,19,16:15,18:00,1,3,A,9,Tile,,
12/2/23,19,16:15,18:00,1,4,A,10,Tile,,
12/2/23,19,18:00,21:00,1,1,A,6,Corynactis,4,
12/2/23,19,18:00,21:00,1,2,A,7,Corynactis,7,
12/2/23,19,18:00,21:00,1,3,,,Empty,,
12/2/23,19,18:00,21:00,1,4,,,Empty,,
12/2/23,19,21:15,22:30,1,1,A,6,Tile,,
12/2/23,19,21:15,22:30,1,2,A,7,Tile,,
12/2/23,19,21:15,22:30,1,3,,,Empty,,
12/2/23,19,21:15,22:30,1,4,,,Empty,,
12/2/23,19,22:30,2:00,1,1,,,Empty,,
12/2/23,19,22:30,2:00,1,2,,,Empty,,
12/2/23,19,22:30,2:00,1,3,,,Empty,,
12/2/23,19,22:30,2:00,1,4,,,Empty,,
12/3/23,23,11:45,15:30,1,1,A,11,Corynactis,6,remove first 30 minutes because temperature difference
12/3/23,23,11:45,15:30,1,2,A,12,Corynactis,3,remove first 30 minutes because temperature difference
12/3/23,23,11:45,15:30,1,3,A,13,Corynactis,5,remove first 30 minutes because temperature difference
12/3/23,23,11:45,15:30,1,4,A,14,Corynactis,7,remove first 30 minutes because temperature difference
12/3/23,23,15:30,17:00,1,1,A,11,Tile,,
12/3/23,23,15:30,17:00,1,2,A,12,Tile,,
12/3/23,23,15:30,17:00,1,3,A,13,Tile,,
12/3/23,23,15:30,17:00,1,4,A,14,Tile,,
12/3/23,23,17:15,20:15,1,1,B,11,Corynactis,3,
12/3/23,23,17:15,20:15,1,2,B,12,Corynactis,5,
12/3/23,23,17:15,20:15,1,3,B,13,Corynactis,6,
12/3/23,23,17:15,20:15,1,4,B,14,Corynactis,5,
12/3/23,23,20:45,22:00,1,1,B,11,Tile,,
12/3/23,23,20:45,22:00,1,2,B,12,Tile,,
12/3/23,23,20:45,22:00,1,3,B,13,Tile,,
12/3/23,23,20:45,22:00,1,4,B,14,Tile,,
12/3/23,23,22:00,2:00,1,1,,,Empty,,
12/3/23,23,22:00,2:00,1,2,,,Empty,,
12/3/23,23,22:00,2:00,1,3,,,Empty,,
12/3/23,23,22:00,2:00,1,4,,,Empty,,
12/4/23,23,10:45,13:45,1,1,E,11,Corynactis,5,
12/4/23,23,10:45,13:45,1,2,E,12,Corynactis,3,
12/4/23,23,10:45,13:45,1,3,E,13,Corynactis,7,
12/4/23,23,10:45,13:45,1,4,E,14,Corynactis,4,
12/4/23,23,14:15,15:30,1,1,E,11,Tile,,
12/4/23,23,14:15,15:30,1,2,E,12,Tile,,
12/4/23,23,14:15,15:30,1,3,E,13,Tile,,
12/4/23,23,14:15,15:30,1,4,E,14,Tile,,
12/4/23,23,15:45,2:00,1,1,,,Empty,,
12/4/23,23,15:45,2:00,1,2,,,Empty,,
12/4/23,23,15:45,2:00,1,3,,,Empty,,
12/4/23,23,15:45,2:00,1,4,,,Empty,,
12/5/23,23,10:15,13:30,1,1,E,11,Corynactis,4,
12/5/23,23,10:15,13:30,1,2,A,15,Corynactis,5,
12/5/23,23,10:15,13:30,1,3,B,15,Corynactis,4,
12/5/23,23,10:15,13:30,1,4,E,15,Corynactis,3,
12/5/23,23,13:45,15:40,1,1,E,11,Tile,,
12/5/23,23,13:45,15:40,1,2,A,15,Tile,,
12/5/23,23,13:45,15:40,1,3,B,15,Tile,,
12/5/23,23,13:45,15:40,1,4,E,15,Tile,,
12/5/23,23,,,1,1,,,Empty,,"Not run, forgot to click ""start"""
12/5/23,23,,,1,2,,,Empty,,"Not run, forgot to click ""start"""
12/5/23,23,,,1,3,,,Empty,,"Not run, forgot to click ""start"""
12/5/23,23,,,1,4,,,Empty,,"Not run, forgot to click ""start"""
12/6/23,23,12:00,15:00,1,1,B,12,Corynactis,5,
12/6/23,23,12:00,15:00,1,2,A,13,Corynactis,10,
12/6/23,23,12:00,15:00,1,3,,,Empty,,
12/6/23,23,12:00,15:00,1,4,,,Empty,,
12/6/23,23,15:10,16:45,1,1,B,12,Tile,,
12/6/23,23,15:10,16:45,1,2,A,13,Tile,,
12/6/23,23,15:10,16:45,1,3,,,Empty,,
12/6/23,23,15:10,16:45,1,4,,,Empty,,
12/6/23,23,16:45,2:00,1,1,,,Empty,,
12/6/23,23,16:45,2:00,1,2,,,Empty,,
12/6/23,23,16:45,2:00,1,3,,,Empty,,
12/6/23,23,16:45,2:00,1,4,,,Empty,,
12/8/23,15,11:45,16:30,1,2,A,1,Corynactis,,DO NOT USE
12/8/23,15,11:45,16:30,1,3,B,1,Corynactis,,DO NOT USE
12/8/23,15,11:45,16:30,1,4,A,2,Corynactis,,DO NOT USE
12/8/23,15,11:45,16:30,2,1,B,2,Corynactis,5,
12/8/23,15,11:45,16:30,2,2,A,3,Corynactis,6,
12/8/23,15,11:45,16:30,2,3,B,3,Corynactis,8,
12/8/23,15,16:45,18:00,2,1,B,2,Tile,,
12/8/23,15,16:45,18:00,2,2,A,3,Tile,,
12/8/23,15,16:45,18:00,2,3,B,3,Tile,,
12/8/23,15,22:30,2:00,2,1,,,Empty,,
12/8/23,15,22:30,2:00,2,2,,,Empty,,
12/8/23,15,22:30,2:00,2,3,,,Empty,,
12/9/23,15,12:20,15:30,2,1,A,1,Corynactis,6,
12/9/23,15,12:20,15:30,2,2,B,1,Corynactis,5,
12/9/23,15,12:20,15:30,2,3,A,4,Corynactis,4,
12/9/23,15,12:20,15:30,1,2,B,4,Corynactis,3,
12/9/23,15,12:20,15:30,1,3,A,5,Corynactis,7,only froze 5
12/9/23,15,12:20,15:30,1,4,B,5,Corynactis,3,
12/9/23,15,16:00,17:30,2,1,A,1,Tile,,
12/9/23,15,16:00,17:30,2,2,B,1,Tile,,
12/9/23,15,16:00,17:30,2,3,A,4,Tile,,
12/9/23,15,16:00,17:30,1,2,B,4,Tile,,
12/9/23,15,16:00,17:30,1,3,A,5,Tile,,
12/9/23,15,16:00,17:30,1,4,B,5,Tile,,
12/9/23,15,17:45,2:00,2,1,,,Empty,,
12/9/23,15,17:45,2:00,2,2,,,Empty,,
12/9/23,15,17:45,2:00,2,3,,,Empty,,
12/9/23,15,17:45,2:00,1,2,,,Empty,,
12/9/23,15,17:45,2:00,1,3,,,Empty,,
12/9/23,15,17:45,2:00,1,4,,,Empty,,
12/10/23,15,11:00,14:15,2,1,E,1,Corynactis,3,
12/10/23,15,11:00,14:15,2,2,E,2,Corynactis,6,
12/10/23,15,11:00,14:15,2,3,E,4,Corynactis,7,
12/10/23,15,11:00,14:15,1,2,E,3,Corynactis,5,actually 7 polyps but removed 2 tiny maybe
12/10/23,15,11:00,14:15,1,3,E,4,Corynactis,7,labeled tube (2)
12/10/23,15,11:00,14:15,1,4,E,5,Corynactis,6,
12/10/23,15,14:30,16:00,2,1,E,1,Tile,,
12/10/23,15,14:30,16:00,2,2,E,2,Tile,,
12/10/23,15,14:30,16:00,2,3,E,4,Tile,,
12/10/23,15,14:30,16:00,1,2,E,3,Tile,,
12/10/23,15,14:30,16:00,1,3,E,4,Tile,,
12/10/23,15,14:30,16:00,1,4,E,5,Tile,,
12/10/23,15,16:00,19:20,1,2,B,1,Corynactis,3,
12/10/23,15,16:00,19:20,1,3,A,2,Corynactis,3,
12/10/23,15,16:00,19:20,1,4,A,3,Corynactis,4,
12/10/23,15,19:30,21:00,1,2,B,1,Tile,,
12/10/23,15,19:30,21:00,1,3,A,2,Tile,,
12/10/23,15,19:30,21:00,1,4,A,3,Tile,,
12/10/23,15,21:00,2:00,2,1,,,Empty,,
12/10/23,15,21:00,2:00,2,2,,,Empty,,
12/10/23,15,21:00,2:00,2,3,,,Empty,,
12/10/23,15,21:00,2:00,1,2,,,Empty,,
12/10/23,15,21:00,2:00,1,3,,,Empty,,
12/10/23,15,21:00,2:00,1,4,,,Empty,,
12/11/23,23,13:00,16:00,2,1,B,11,Corynactis,3,Give it 1 hour to temperature stabilize
12/11/23,23,13:00,16:00,2,2,A,14,Corynactis,5,Give it 1 hour to temperature stabilize
12/11/23,23,13:00,16:00,2,3,E,14,Corynactis,3,Give it 1 hour to temperature stabilize
12/11/23,23,13:00,16:00,1,2,B,14,Corynactis,7,Give it 1 hour to temperature stabilize
12/11/23,23,13:00,16:00,1,3,A,15,Corynactis,7,Give it 1 hour to temperature stabilize
12/11/23,23,13:00,16:00,1,4,E,15,Corynactis,7,Give it 1 hour to temperature stabilize; Only 6 polyps frozen
12/11/23,23,16:45,2:00,2,1,B,11,Tile,,
12/11/23,23,16:45,2:00,2,2,A,14,Tile,,
12/11/23,23,16:45,2:00,2,3,E,14,Tile,,
12/11/23,23,16:45,2:00,1,2,B,14,Tile,,
12/11/23,23,16:45,2:00,1,3,A,15,Tile,,
12/11/23,23,16:45,2:00,1,4,E,15,Tile,,
12/11/23,23,9:00,12:00,2,1,,,Empty,,
12/11/23,23,9:00,12:00,2,2,,,Empty,,
12/11/23,23,9:00,12:00,2,3,,,Empty,,
12/11/23,23,9:00,12:00,1,2,,,Empty,,
12/11/23,23,9:00,12:00,1,3,,,Empty,,
12/11/23,23,9:00,12:00,1,4,,,Empty,,
12/12/23,19,11:00,14:15,2,1,A,7,Corynactis,6,
12/12/23,19,11:00,14:15,2,2,B,7,Corynactis,3,"Started with D7, switched to B7 @ 12:20"
12/12/23,19,11:00,14:15,2,3,E,7,Corynactis,3,
12/12/23,19,11:00,14:15,1,2,A,8,Corynactis,8,
12/12/23,19,11:00,14:15,1,3,B,9,Corynactis,3,
12/12/23,19,11:00,14:15,1,4,E,10,Corynactis,8,"Either E7 or E10 has one of the frozen vials labeled ""12/10/23"" on the top cap (but it should be 12/12)"
12/12/23,19,14:45,16:00,2,1,A,7,Tile,,
12/12/23,19,14:45,16:00,2,2,B,7,Tile,,
12/12/23,19,14:45,16:00,2,3,E,7,Tile,,
12/12/23,19,14:45,16:00,1,2,A,8,Tile,,
12/12/23,19,14:45,16:00,1,3,B,9,Tile,,
12/12/23,19,14:45,16:00,1,4,E,10,Tile,,
12/12/23,19,16:00,17:00,2,1,,,Empty,,
12/12/23,19,16:00,17:00,2,2,,,Empty,,
12/12/23,19,16:00,17:00,2,3,,,Empty,,
12/12/23,19,16:00,17:00,1,2,,,Empty,,
12/12/23,19,16:00,17:00,1,3,,,Empty,,
12/12/23,19,16:00,17:00,1,4,,,Empty,,
12/12/23,15,18:00,21:15,2,1,A,2,Corynactis,7,
12/12/23,15,18:00,21:15,2,2,B,2,Corynactis,5,
12/12/23,15,18:00,21:15,2,3,E,2,Corynactis,3,
12/12/23,15,18:00,21:15,1,2,B,3,Corynactis,5,
12/12/23,15,18:00,21:15,1,3,E,3,Corynactis,3,
12/12/23,15,18:00,21:15,1,4,A,4,Corynactis,4,
12/12/23,15,21:30,2:00,2,1,A,2,Tile,,
12/12/23,15,21:30,2:00,2,2,B,2,Tile,,
12/12/23,15,21:30,2:00,2,3,E,2,Tile,,
12/12/23,15,21:30,2:00,1,2,B,3,Tile,,
12/12/23,15,21:30,2:00,1,3,E,3,Tile,,
12/12/23,15,21:30,2:00,1,4,A,4,Tile,,
12/12/23,15,17:15,18:00,2,1,,,Empty,,
12/12/23,15,17:15,18:00,2,2,,,Empty,,
12/12/23,15,17:15,18:00,2,3,,,Empty,,
12/12/23,15,17:15,18:00,1,2,,,Empty,,
12/12/23,15,17:15,18:00,1,3,,,Empty,,
12/12/23,15,17:15,18:00,1,4,,,Empty,,
2/14/24,13.5,10:45,14:00,2,1,D,7,Corynactis,3,
2/14/24,13.5,10:45,14:00,2,2,D,6,Corynactis,5,
2/14/24,13.5,10:45,14:00,2,3,D,10,Corynactis,5,
2/14/24,13.5,10:45,14:00,2,4,D,8,Corynactis,6,
2/14/24,13.5,10:45,14:00,1,1,D,9,Corynactis,3,
2/14/24,13.5,10:45,14:00,1,2,D,8,Corynactis,5,vial labeled b
2/14/24,13.5,10:45,14:00,1,4,D,9,Corynactis,8,vial labeled b
2/14/24,13.5,14:30,16:00,2,1,D,7,Tile,,
2/14/24,13.5,14:30,16:00,2,2,D,6,Tile,,
2/14/24,13.5,14:30,16:00,2,3,D,10,Tile,,
2/14/24,13.5,14:30,16:00,2,4,D,8,Tile,,
2/14/24,13.5,14:30,16:00,1,1,D,9,Tile,,
2/14/24,13.5,14:30,16:00,1,2,D,8,Tile,,
2/14/24,13.5,14:30,16:00,1,4,D,9,Tile,,
2/14/24,13.5,16:00,19:15,2,1,C,10,Corynactis,5,
2/14/24,13.5,16:00,19:15,2,2,C,6,Corynactis,3,
2/14/24,13.5,16:00,19:15,2,3,C,8,Corynactis,4,
2/14/24,13.5,16:00,19:15,2,4,C,9,Corynactis,4,
2/14/24,13.5,16:00,19:15,1,1,C,7,Corynactis,4,
2/14/24,13.5,16:00,19:15,1,2,C,9,Corynactis,6,vial labeled b
2/14/24,13.5,16:00,19:15,1,4,C,10,Corynactis,6,vial labeled b
2/14/24,13.5,19:45,20:50,2,1,C,10,Tile,,
2/14/24,13.5,19:45,20:50,2,2,C,6,Tile,,
2/14/24,13.5,19:45,20:50,2,3,C,8,Tile,,
2/14/24,13.5,19:45,20:50,2,4,C,9,Tile,,
2/14/24,13.5,19:45,20:50,1,1,C,7,Tile,,
2/14/24,13.5,19:45,20:50,1,2,C,9,Tile,,
2/14/24,13.5,19:45,20:50,1,4,C,10,Tile,,
2/14/24,13.5,21:00,2:00,2,1,,,Empty,,
2/14/24,13.5,21:00,2:00,2,2,,,Empty,,
2/14/24,13.5,21:00,2:00,2,3,,,Empty,,
2/14/24,13.5,21:00,2:00,2,4,,,Empty,,
2/14/24,13.5,21:00,2:00,1,1,,,Empty,,
2/14/24,13.5,21:00,2:00,1,2,,,Empty,,
